Class,Desc,Type
16,painters' easels,specific
16,numbers [type],specific
16,Indian inks,specific
16,chromolithographs [chromos] / chromos,specific
16,"modelling wax, not for dental purposes",specific
16,files [office requisites],specific
16,office perforators,specific
16,toilet paper / hygienic paper,specific
16,books,specific
16,compasses for drawing,specific
16,type [numerals and letters] / letters [type],specific
16,composing sticks,specific
16,letter trays,specific
16,conical paper bags,specific
16,correcting fluids [office requisites],specific
16,correcting ink [heliography],specific
16,pencil leads,specific
16,histological sections for teaching purposes,specific
16,French curves,specific
16,covers [stationery] / wrappers [stationery],specific
16,writing chalk,specific
16,chalk for lithography,specific
16,tailors' chalk,specific
16,chalk holders,specific
16,pencil holders,specific
16,pencil lead holders,specific
16,cream containers of paper,specific
16,paper clasps,specific
16,rollers for typewriters,specific
16,transfers [decalcomanias] / decalcomanias,specific
16,graphic prints,specific
16,graining combs,specific
16,drawing boards,specific
16,drawing materials,specific
16,drawing instruments,specific
16,diagrams,specific
16,envelopes [stationery],specific
16,duplicators,specific
16,etchings,specific
16,wrapping paper / packing paper,specific
16,nibs,specific
16,"typewriters, electric or non-electric",specific
16,pen cases / boxes for pens,specific
16,nibs of gold,specific
16,erasing products,specific
16,writing materials,specific
16,shields [paper seals],specific
16,erasing shields,specific
16,rubber erasers,specific
16,electrocardiograph paper,specific
16,punches [office requisites],specific
16,ink*,specific
16,inking ribbons,specific
16,inkwells,specific
16,envelope sealing machines for offices,specific
16,photographs [printed],specific
16,pen wipers,specific
16,seals [stamps],specific
16,fabrics for bookbinding,specific
16,drawing sets,specific
16,ledgers [books],specific
16,indexes,specific
16,figurines of papier mâché / statuettes of papier mâché,specific
16,filter paper,specific
16,filtering materials of paper,specific
16,"forms, printed",specific
16,"office requisites, except furniture",specific
16,charcoal pencils,specific
16,stencils [stationery],specific
16,galley racks [printing],specific
16,electrotypes,specific
16,printed geographical maps,specific
16,terrestrial globes,specific
16,artists' watercolour saucers / artists' watercolor saucers,specific
16,graphic reproductions,specific
16,graphic representations,specific
16,scrapers [erasers] for offices,specific
16,engraving plates,specific
16,hectographs,specific
16,printed timetables,specific
16,moisteners for gummed surfaces [office requisites],specific
16,postcards,specific
16,printed matter,specific
16,hand labelling appliances,specific
16,"printers' blankets, not of textile",specific
16,"printing sets, portable [office requisites]",specific
16,printed publications,specific
16,manuals [handbooks] / handbooks [manuals],specific
16,writing paper,specific
16,paperweights,specific
16,tracing needles for drawing purposes,specific
16,drawing pens,specific
16,table linen of paper,specific
16,lithographs,specific
16,lithographic stones,specific
16,booklets,specific
16,luminous paper,specific
16,papier mâché,specific
16,manifolds [stationery],specific
16,marking chalk,specific
16,plastics for modelling,specific
16,modelling materials,specific
16,modelling paste,specific
16,handkerchiefs of paper,specific
16,inking sheets for duplicators,specific
16,tablecloths of paper,specific
16,blackboards,specific
16,paper-clips,specific
16,numbering apparatus,specific
16,oleographs,specific
16,binding strips [bookbinding],specific
16,sealing wafers,specific
16,palettes for painters,specific
16,pantographs [drawing instruments],specific
16,stationery,specific
16,parchment paper,specific
16,pastels [crayons],specific
16,sewing patterns,specific
16,stencil cases,specific
16,house painters' rollers,specific
16,canvas for painting,specific
16,paint boxes for use in schools,specific
16,plastic film for wrapping,specific
16,apparatus for mounting photographs,specific
16,photograph stands,specific
16,photo-engravings,specific
16,blueprints / plans,specific
16,paper creasers [office requisites],specific
16,fountain pens,specific
16,stencil plates,specific
16,stencils,specific
16,portraits,specific
16,flower-pot covers of paper / covers of paper for flower pots,specific
16,mimeograph apparatus and machines,specific
16,paper tapes and cards for the recordal of computer programmes,specific
16,prospectuses,specific
16,paper for radiograms,specific
16,drawing rulers,specific
16,printers' reglets,specific
16,bookbinding material,specific
16,cloth for bookbinding / bookbinding cloth,specific
16,cords for bookbinding / bookbinding cords,specific
16,inking sheets for document reproducing machines,specific
16,pens [office requisites],specific
16,magazines [periodicals],specific
16,"paper ribbons, other than haberdashery or hair decorations",specific
16,typewriter ribbons,specific
16,"bags [envelopes, pouches] of paper or plastics, for packaging",specific
16,stamp pads,specific
16,school supplies [stationery],specific
16,bookmarks / bookmarkers,specific
16,greeting cards,specific
16,steatite [tailor's chalk],specific
16,balls for ball-point pens,specific
16,tablemats of paper,specific
16,desk mats,specific
16,typewriter keys,specific
16,holders for stamps [seals],specific
16,cases for stamps [seals],specific
16,postage stamps,specific
16,stamp stands,specific
16,transparencies [stationery],specific
16,vignetting apparatus,specific
16,gluten [glue] for stationery or household purposes,specific
16,adhesives [glues] for stationery or household purposes,specific
16,adhesive tapes for stationery or household purposes,specific
16,address plates for addressing machines,specific
16,almanacs,specific
16,calendars,specific
16,starch paste [adhesive] for stationery or household purposes,specific
16,paintbrushes,specific
16,self-adhesive tapes for stationery or household purposes,specific
16,elastic bands for offices,specific
16,bibs of paper,specific
16,wood pulp board [stationery],specific
16,wood pulp paper,specific
16,boxes of paper or cardboard,specific
16,stands for pens and pencils,specific
16,bottle envelopes of paper or cardboard,specific
16,coasters of paper,specific
16,announcement cards [stationery],specific
16,plastic bubble packs for wrapping or packaging,specific
16,flags of paper,specific
16,paper shredders for office use,specific
16,sheets of reclaimed cellulose for wrapping,specific
16,desktop cabinets for stationery [office requisites],specific
16,glue for stationery or household purposes / pastes for stationery or household purposes,specific
16,paper knives [letter openers],specific
16,garbage bags of paper or of plastics,specific
16,"pencil sharpeners, electric or non-electric",specific
16,tissues of paper for removing make-up,specific
16,table napkins of paper,specific
16,place mats of paper,specific
16,squares for drawing,specific
16,T-squares for drawing,specific
16,penholders,specific
16,writing cases [stationery],specific
16,inkstands,specific
16,writing cases [sets],specific
16,handwriting specimens for copying,specific
16,bottle wrappers of paper or cardboard,specific
16,placards of paper or cardboard,specific
16,towels of paper,specific
16,face towels of paper,specific
16,labels of paper or cardboard,specific
16,etching needles,specific
16,viscose sheets for wrapping,specific
16,gums [adhesives] for stationery or household purposes,specific
16,gummed cloth for stationery purposes,specific
16,isinglass for stationery or household purposes,specific
16,paper coffee filters,specific
16,"plastic cling film, extensible, for palletization",specific
16,signboards of paper or cardboard,specific
16,stickers [stationery],specific
16,bookbinding apparatus and machines [office equipment],specific
16,comic books,specific
16,copying paper [stationery],specific
16,holders for cheque books / holders for checkbooks,specific
16,ink sticks,specific
16,ink stones [ink reservoirs],specific
16,musical greeting cards,specific
16,newsletters,specific
16,packaging material made of starches,specific
16,waxed paper,specific
16,passport holders,specific
16,writing brushes,specific
16,writing instruments,specific
16,"drawer liners of paper, perfumed or not",specific
16,"credit card imprinters, non-electric",specific
16,document laminators for office use,specific
16,papers for painting and calligraphy,specific
16,writing board erasers,specific
16,clipboards,specific
16,"chart pointers, non-electronic",specific
16,"paper bows, other than haberdashery or hair decorations",specific
16,moulds for modelling clays [artists' materials] / molds for modelling clays [artists' materials],specific
16,money clips,specific
16,"trading cards, other than for games",specific
16,absorbent sheets of paper or plastic for foodstuff packaging,specific
16,humidity control sheets of paper or plastic for foodstuff packaging,specific
16,correcting tapes [office requisites],specific
16,paint trays,specific
16,marking pens [stationery],specific
16,flyers,specific
16,document holders [stationery],specific
16,page holders,specific
16,polymer modelling clay,specific
16,obliterating stamps,specific
16,"packing [cushioning, stuffing] materials of paper or cardboard",specific
16,padding materials of paper or cardboard / stuffing of paper or cardboard,specific
16,banknotes,specific
16,spray chalk,specific
16,printed coupons,specific
16,rice paper*,specific
16,plastic bags for pet waste disposal,specific
16,washi,specific
16,table runners of paper,specific
16,printed sheet music,specific
16,banners of paper,specific
16,bunting of paper,specific
16,animation cels,specific
16,paper bags for use in the sterilization of medical instruments / paper bags for use in the sterilisation of medical instruments,specific
16,name badge holders [office requisites],specific
16,retractable reels for name badge holders [office requisites],specific
16,clips for name badge holders [office requisites],specific
16,paper for medical examination tables,specific
16,dental tray covers of paper,specific
16,"bibs, sleeved, of paper",specific
16,paper cutters [office requisites],specific
16,stencils for decorating food and beverages,specific
16,name badges [office requisites],specific
16,barcode ribbons,specific
16,glitter for stationery purposes,specific
16,baggage claim check tags of paper,specific
16,paper wipes for cleaning,specific
16,protective covers for books,specific
16,colouring books / coloring books,specific
16,colouring pictures / coloring pictures,specific
16,origami folding paper,specific
16,carrier bags of paper or plastic / shopping bags of paper or plastic,specific
16,mezuzah parchments,specific
16,mezuzah cases,specific
16,baking paper,specific
16,magnetic boards being office requisites,specific
16,flip charts,specific
16,souvenir banknotes,specific
16,plantable seed paper [stationery],specific
16,floor decals,specific
16,seaweed-based film for wrapping,specific
17,"cellulose acetate, semi-processed",specific
17,"acrylic resins, semi-processed",specific
17,asbestos safety curtains / safety curtains of asbestos,specific
17,rings of rubber,specific
17,asbestos slate / slate asbestos,specific
17,watering hose,specific
17,soundproofing materials,specific
17,water-tight rings / stuffing rings,specific
17,balata,specific
17,waterproof packings,specific
17,rubber seals for jars,specific
17,draught excluder strips / weatherstripping,specific
17,padding materials of rubber or plastics / stuffing of rubber or plastics,specific
17,weatherstripping compositions,specific
17,non-conducting materials for retaining heat,specific
17,"rubber, raw or semi-worked",specific
17,rubber stoppers,specific
17,clack valves of rubber,specific
17,synthetic rubber,specific
17,shock-absorbing buffers of rubber,specific
17,"flexible hoses, not of metal",specific
17,insulating materials,specific
17,compositions to prevent the radiation of heat,specific
17,hoses of textile material,specific
17,boiler composition to prevent the radiation of heat,specific
17,paper for electrical capacitors,specific
17,pipe gaskets / joint packings for pipes,specific
17,cords of rubber,specific
17,cotton wool for packing [caulking],specific
17,cylinder jointings,specific
17,dielectrics [insulators],specific
17,asbestos sheets,specific
17,ebonite,specific
17,bark coverings for sound insulation,specific
17,"elastic yarns, other than for textile use / elastic threads, other than for textile use",specific
17,clutch linings,specific
17,caulking materials,specific
17,expansion joint fillers / fillers for expansion joints,specific
17,chemical compositions for sealing leaks,specific
17,gaskets / joint packings,specific
17,asbestos felt,specific
17,insulating felt,specific
17,vulcanized fibre / vulcanized fiber,specific
17,threads of plastic for soldering / soldering threads of plastic,specific
17,"brake lining materials, partly processed",specific
17,gutta-percha,specific
17,insulating oil for transformers,specific
17,insulating oils,specific
17,"foil of regenerated cellulose, other than for wrapping / sheets of regenerated cellulose, other than for wrapping",specific
17,insulating paper,specific
17,insulating fabrics,specific
17,insulating varnish,specific
17,substances for insulating buildings against moisture,specific
17,foils of metal for insulating / metal foil for insulation,specific
17,insulating paints,specific
17,slag wool [insulator],specific
17,mineral wool [insulator],specific
17,glass wool for insulation,specific
17,latex [rubber],specific
17,canvas hose pipes,specific
17,lute,specific
17,"pipe muffs, not of metal / pipe jackets, not of metal",specific
17,rubber sleeves for protecting parts of machines / sleeves of rubber for protecting parts of machines,specific
17,sealant compounds for joints,specific
17,"mica, raw or partly processed",specific
17,asbestos paper,specific
17,"plastic film, other than for wrapping",specific
17,"junctions, not of metal, for pipes",specific
17,connecting hose for vehicle radiators,specific
17,"synthetic resins, semi-processed / artificial resins, semi-processed",specific
17,washers of rubber or vulcanized fibre / washers of rubber or vulcanized fiber,specific
17,"bags [envelopes, pouches] of rubber, for packaging",specific
17,asbestos coverings,specific
17,asbestos fabrics,specific
17,asbestos cloth,specific
17,asbestos packing,specific
17,valves of india-rubber or vulcanized fibre / valves of india-rubber or vulcanized fiber,specific
17,"viscose sheets, other than for wrapping",specific
17,insulators for railway tracks,specific
17,"adhesive tapes, other than stationery and not for medical or household purposes",specific
17,"fittings, not of metal, for compressed air lines",specific
17,asbestos millboards,specific
17,asbestos fibres / asbestos fibers,specific
17,"reinforcing materials, not of metal, for pipes",specific
17,asbestos,specific
17,"self-adhesive tapes, other than stationery and not for medical or household purposes",specific
17,stops of rubber,specific
17,insulators for cables,specific
17,"threads of rubber, other than for textile use",specific
17,"carbon fibres, other than for textile use / carbon fibers, other than for textile use",specific
17,"plastic substances, semi-processed",specific
17,insulators for electric mains,specific
17,insulators,specific
17,ebonite moulds / ebonite molds,specific
17,"packing [cushioning, stuffing] materials of rubber or plastics",specific
17,"plastic fibres, other than for textile use / plastic fibers, other than for textile use",specific
17,fibreglass for insulation / fiberglass for insulation / glass fibers for insulation / glass fibres for insulation,specific
17,fibreglass fabrics for insulation / fiberglass fabrics for insulation,specific
17,"threads of plastic materials, other than for textile use",specific
17,filtering materials of semi-processed foams of plastic,specific
17,insulating tapes,specific
17,floating anti-pollution barriers,specific
17,rubber material for recapping tyres / rubber material for recapping tires,specific
17,insulating plaster,specific
17,plastic sheeting for agricultural purposes,specific
17,foam supports for flower arrangements [semi-finished products],specific
17,liquid rubber,specific
17,rubber solutions,specific
17,anti-glare films for windows [tinted films] / anti-dazzle films for windows [tinted films],specific
17,insulating refractory materials,specific
17,"gum, raw or semi-worked",specific
17,duct tapes,specific
17,door stops of rubber,specific
17,window stops of rubber,specific
17,"fittings, not of metal, for flexible pipes",specific
17,"fittings, not of metal, for rigid pipes",specific
17,dock bumpers of rubber,specific
17,filtering materials of semi-processed films of plastic,specific
17,plastic filaments for 3D printing,specific
17,insulating inks,specific
17,"acrylic glass, semi-processed",specific
17,"organic glass, semi-processed",specific
17,sew-on tags of rubber for clothing,specific
17,oil seals,specific
17,O-rings,specific
17,non-slip pads of rubber,specific
17,insulating films,specific
18,mountaineering sticks / alpenstocks,specific
18,animal skins / pelts,specific
18,umbrella rings,specific
18,saddle trees,specific
18,leather leashes / leather leads,specific
18,fastenings for saddles,specific
18,umbrella or parasol ribs,specific
18,goldbeaters' skin,specific
18,purses,specific
18,bridoons,specific
18,straps for soldiers' equipment,specific
18,music cases,specific
18,umbrella sticks,specific
18,walking sticks* / canes*,specific
18,walking stick seats,specific
18,bits for animals [harness],specific
18,frames for umbrellas or parasols,specific
18,game bags [hunting accessories],specific
18,school bags / school satchels,specific
18,card cases [notecases],specific
18,leatherboard,specific
18,hat boxes of leather,specific
18,horse collars,specific
18,horse blankets,specific
18,kid,specific
18,muzzles,specific
18,travelling trunks,specific
18,collars for animals*,specific
18,leather cord,specific
18,curried skins,specific
18,harness straps / harness traces,specific
18,straps of leather [saddlery],specific
18,straps for skates,specific
18,leather straps / leather thongs,specific
18,butts [parts of hides],specific
18,"leather, unworked or semi-worked",specific
18,trimmings of leather for furniture / leather trimmings for furniture,specific
18,imitation leather,specific
18,umbrellas,specific
18,sling bags for carrying infants,specific
18,parts of rubber for stirrups,specific
18,stirrup leathers,specific
18,"tool bags, empty",specific
18,whips,specific
18,nose bags [feed bags],specific
18,umbrella covers,specific
18,"casings, of leather, for springs / casings, of leather, for plate springs",specific
18,knee-pads for horses,specific
18,covers for animals,specific
18,harness for animals,specific
18,blinkers [harness] / blinders [harness],specific
18,traces [harness],specific
18,rucksacks / backpacks,specific
18,halters / head-stalls,specific
18,walking stick handles / walking cane handles,specific
18,cat o' nine tails,specific
18,"chin straps, of leather",specific
18,moleskin [imitation of leather],specific
18,frames for bags [structural parts of bags],specific
18,parasols,specific
18,fur / fur-skins,specific
18,umbrella handles,specific
18,pocket wallets,specific
18,wheeled shopping bags,specific
18,reusable shopping bags,specific
18,reins,specific
18,attaché cases,specific
18,bags for climbers,specific
18,bags for campers,specific
18,beach bags,specific
18,handbags,specific
18,travelling bags,specific
18,"bags [envelopes, pouches] of leather, for packaging",specific
18,girths of leather,specific
18,riding saddles,specific
18,saddlery,specific
18,briefcases,specific
18,travelling sets [leatherware],specific
18,suitcases,specific
18,suitcase handles,specific
18,valves of leather,specific
18,cattle skins,specific
18,boxes of leather or leatherboard,specific
18,chain mesh purses,specific
18,cases of leather or leatherboard,specific
18,trunks [luggage],specific
18,"vanity cases, not fitted",specific
18,"chamois leather, other than for cleaning purposes / skins of chamois, other than for cleaning purposes",specific
18,shoulder belts [straps] of leather / leather shoulder belts / leather shoulder straps,specific
18,covers for horse saddles,specific
18,boxes of vulcanized fibre / boxes of vulcanized fiber,specific
18,haversacks,specific
18,garment bags for travel,specific
18,bridles [harness],specific
18,key cases,specific
18,net bags for shopping,specific
18,valises,specific
18,furniture coverings of leather,specific
18,pads for horse saddles,specific
18,bags for sports*,specific
18,stirrups,specific
18,harness fittings,specific
18,horseshoes,specific
18,slings for carrying infants,specific
18,pouch baby carriers,specific
18,bags*,specific
18,credit card cases [wallets],specific
18,business card cases,specific
18,randsels [Japanese school satchels],specific
18,luggage tags / baggage tags,specific
18,saddlecloths for horses,specific
18,labels of leather,specific
18,grips for holding shopping bags,specific
18,tefillin [phylacteries],specific
18,suitcases with wheels,specific
18,saddlebags*,specific
18,clothing for pets,specific
18,reins for guiding children,specific
18,motorized suitcases,specific
18,compression cubes adapted for luggage,specific
18,conference folders / conference portfolios,specific
18,hiking sticks / trekking sticks,specific
18,leathercloth,specific
18,backpacks for carrying infants,specific
18,"toilet bags, not fitted",specific
18,suitcase packing organizers / luggage organizers,specific
18,vegan leather,specific
18,sew-on tags of leather for clothing,specific
18,adhesive tags of leather for bags,specific
18,dog waste bag dispensers adapted for use with leashes,specific
18,mycelium-based imitation leather,specific
18,frames for coin purses [structural parts of coin purses],specific
19,"advertisement columns, not of metal",specific
19,alabaster glass for building,specific
19,alabaster,specific
19,asbestos cement,specific
19,asbestos mortar,specific
19,slate,specific
19,roofing slates,specific
19,slate powder,specific
19,hips for roofing,specific
19,silver sand,specific
19,potters' clay,specific
19,firebricks / refractory bricks,specific
19,asphalt,specific
19,asphalt paving,specific
19,furrings of wood,specific
19,"balustrades, not of metal",specific
19,bitumen,specific
19,tarred strips for building,specific
19,huts,specific
19,fair huts,specific
19,roofing shingles,specific
19,"folding doors, not of metal",specific
19,concrete,specific
19,concrete building elements,specific
19,bituminous products for building,specific
19,"wood, semi-worked",specific
19,building timber / lumber,specific
19,plywood,specific
19,manufactured timber,specific
19,wood for making household utensils,specific
19,sawn timber,specific
19,wood paving,specific
19,wood veneers / veneers,specific
19,veneer wood,specific
19,wood panelling,specific
19,cement*,specific
19,pitch,specific
19,bricks,specific
19,earth for bricks,specific
19,binding agents for making briquettes / binding agents for making stones,specific
19,"telephone booths, not of metal / telephone boxes, not of metal",specific
19,caissons for construction work under water,specific
19,limestone / calcareous stone,specific
19,"roof gutters, not of metal",specific
19,paperboard for building / building cardboard,specific
19,bitumen paper for building,specific
19,fireclay / grog [fired refractory material],specific
19,"fireplace mantles, not of metal",specific
19,"framework, not of metal, for building",specific
19,materials for making and coating roads,specific
19,lime,specific
19,mortar for building / grout,specific
19,plaster*,specific
19,"chimneys, not of metal",specific
19,fireproof cement coatings,specific
19,cement slabs,specific
19,cement posts,specific
19,schists,specific
19,"partitions, not of metal",specific
19,"buildings, not of metal",specific
19,building paper,specific
19,building glass,specific
19,"cornices, not of metal",specific
19,"mouldings, not of metal, for cornices / moldings, not of metal, for cornices",specific
19,"roof flashing, not of metal",specific
19,"angle irons, not of metal",specific
19,"windows, not of metal",specific
19,"doors, not of metal*",specific
19,"manhole covers, not of metal",specific
19,"roof coverings, not of metal",specific
19,raw chalk,specific
19,quartz,specific
19,"stair-treads [steps], not of metal",specific
19,"gutter pipes, not of metal",specific
19,"water-pipes, not of metal",specific
19,"water-pipe valves, not of metal or plastic",specific
19,"scaffolding, not of metal",specific
19,"posts, not of metal, for power lines / poles, not of metal, for power lines",specific
19,"branching pipes, not of metal",specific
19,"tomb or grave enclosures, not of metal / grave or tomb enclosures, not of metal",specific
19,bituminous coatings for roofing,specific
19,"beams, not of metal / girders, not of metal",specific
19,"pigsties, not of metal",specific
19,"stables, not of metal",specific
19,"props, not of metal",specific
19,"grave slabs, not of metal / tomb slabs, not of metal",specific
19,"memorial plaques, not of metal",specific
19,felt for building,specific
19,"foundry moulds, not of metal / foundry molds, not of metal",specific
19,cement for furnaces,specific
19,cement for blast furnaces,specific
19,stone,specific
19,plate glass [windows] for building,specific
19,clay*,specific
19,coal tar,specific
19,granite,specific
19,gravel,specific
19,sandstone for building,specific
19,sandstone pipes,specific
19,gypsum [building material],specific
19,"jalousies, not of metal",specific
19,slag [building material],specific
19,clinker ballast,specific
19,parquet floor boards,specific
19,"outdoor blinds, not of metal and not of textile",specific
19,"rocket launching platforms, not of metal",specific
19,"laths, not of metal",specific
19,binding material for road repair,specific
19,agglomerated cork for building,specific
19,parquet flooring,specific
19,"stringers [parts of staircases], not of metal",specific
19,"lintels, not of metal",specific
19,luminous paving blocks,specific
19,macadam,specific
19,"monuments, not of metal",specific
19,magnesia cement,specific
19,"buildings, transportable, not of metal",specific
19,marble,specific
19,glass granules for road marking / glass granules for marking out roads,specific
19,road marking sheets and strips of synthetic material,specific
19,"porches [structures], not of metal",specific
19,"masts [poles], not of metal",specific
19,cask wood / stave wood,specific
19,mosaics for building,specific
19,mouldable wood / moldable wood,specific
19,"mouldings, not of metal, for building / moldings, not of metal, for building",specific
19,coatings [building materials],specific
19,"wall claddings, not of metal, for building",specific
19,"flashing, not of metal, for building",specific
19,olivine for building,specific
19,"shutters, not of metal",specific
19,"palings, not of metal / palisading, not of metal",specific
19,"fences, not of metal",specific
19,"pilings, not of metal / sheet piles, not of metal",specific
19,"signalling panels, non-luminous and non-mechanical, not of metal",specific
19,"wall linings, not of metal, for building",specific
19,"skating rinks [structures], not of metal",specific
19,perches,specific
19,building stone,specific
19,artificial stone,specific
19,slag stone / clinker stone,specific
19,gravestones / tombstones,specific
19,tufa,specific
19,works of stonemasonry,specific
19,"floors, not of metal",specific
19,"ceilings, not of metal",specific
19,planks of wood for building,specific
19,"linings, not of metal, for building",specific
19,"roofing tiles, not of metal",specific
19,"diving boards, not of metal",specific
19,"gates, not of metal",specific
19,"door panels, not of metal",specific
19,"telegraph posts, not of metal",specific
19,"chicken-houses, not of metal",specific
19,"joists, not of metal",specific
19,"platforms, prefabricated, not of metal",specific
19,tanks of masonry,specific
19,road coating materials,specific
19,"sills, not of metal",specific
19,reeds for building,specific
19,"road signs, non-luminous and non-mechanical, not of metal",specific
19,"non-luminous and non-mechanical signs, not of metal",specific
19,"sand, except foundry sand",specific
19,"greenhouses, transportable, not of metal",specific
19,silica [quartz],specific
19,"silos, not of metal",specific
19,"statues of stone, concrete or marble",specific
19,tar,specific
19,terra-cotta [building material],specific
19,"roofing, not of metal",specific
19,"tombs, not of metal",specific
19,"arbours [structures], not of metal",specific
19,"railway sleepers, not of metal / railroad ties, not of metal",specific
19,"latticework, not of metal / trellises, not of metal",specific
19,"rigid pipes, not of metal, for building",specific
19,"window ventlights, not of metal",specific
19,insulating glass for building,specific
19,"window glass, other than vehicle window glass",specific
19,stained-glass windows,specific
19,window glass for building,specific
19,"aviaries [structures], not of metal",specific
19,scantlings [carpentry],specific
19,xylolith,specific
19,"mooring bollards, not of metal",specific
19,"floating docks, not of metal, for mooring boats",specific
19,"wainscotting, not of metal",specific
19,aquaria [structures],specific
19,"reinforcing materials, not of metal, for building",specific
19,safety glass,specific
19,"works of art of stone, concrete or marble",specific
19,"bird baths [structures], not of metal",specific
19,"beacons, not of metal, non-luminous",specific
19,"swimming pools [structures], not of metal",specific
19,"building materials, not of metal / construction materials, not of metal",specific
19,"shuttering, not of metal, for concrete",specific
19,"bicycle parking installations, not of metal",specific
19,"paving blocks, not of metal",specific
19,wood pulp board for building,specific
19,"busts of stone, concrete or marble",specific
19,"cabanas, not of metal",specific
19,"paint spraying booths, not of metal",specific
19,"posts, not of metal",specific
19,"window frames, not of metal",specific
19,"door frames, not of metal / door casings, not of metal",specific
19,"greenhouse frames, not of metal",specific
19,calcareous marl,specific
19,"chimney cowls, not of metal",specific
19,"tiles, not of metal, for building",specific
19,"floor tiles, not of metal",specific
19,"burial vaults, not of metal",specific
19,"chimney pots, not of metal",specific
19,"lengthening pieces, not of metal, for chimneys",specific
19,"chimney shafts, not of metal",specific
19,"paving slabs, not of metal",specific
19,"drain pipes, not of metal",specific
19,"drain traps [valves], not of metal or plastic",specific
19,"staircases, not of metal",specific
19,"building panels, not of metal",specific
19,"figurines of stone, concrete or marble / statuettes of stone, concrete or marble",specific
19,"tombs [monuments], not of metal",specific
19,"tombstone stelae, not of metal",specific
19,"crash barriers, not of metal, for roads",specific
19,letter boxes of masonry,specific
19,agglomerated bagasses of cane [building material],specific
19,"penstock pipes, not of metal",specific
19,aquarium gravel,specific
19,aquarium sand,specific
19,"ducts, not of metal, for ventilating and air-conditioning installations",specific
19,geotextiles,specific
19,rubble,specific
19,vinyl siding,specific
19,"insect screens, not of metal",specific
19,"roofing, not of metal, incorporating photovoltaic cells",specific
19,"duckboards, not of metal",specific
19,"refractory construction materials, not of metal",specific
19,"prefabricated houses [ready-to-assemble], not of metal",specific
19,porphyry [stone],specific
19,"street gutters, not of metal",specific
19,"turnstiles, not of metal",specific
19,"tombstone plaques, not of metal",specific
19,wooden floor boards,specific
19,"tile floorings, not of metal",specific
19,"pantiles, not of metal",specific
19,"wall tiles, not of metal",specific
19,"slabs, not of metal, for building",specific
19,rock crystal,specific
19,"armoured doors, not of metal / armored doors, not of metal",specific
19,"enamelled glass, for building",specific
19,"pillars, not of metal, for building",specific
19,"brackets, not of metal, for building",specific
19,"cladding, not of metal, for building",specific
19,plastic landscape edgings,specific
19,rubber bearings for seismic isolation of buildings,specific
19,"armour-plating, not of metal / armor-plating, not of metal",specific
19,"flagpoles [structures], not of metal",specific
19,"swing doors, not of metal",specific
19,"accordion doors, not of metal",specific
19,"soundproof booths, transportable, not of metal",specific
19,"acoustic panels, not of metal",specific
19,"horticultural frames, not of metal / cold frames, not of metal",specific
19,"floating floor boards, not of metal",specific
19,play sand,specific
19,"casement windows, not of metal",specific
19,"building materials with soundproofing qualities, not of metal / construction materials with soundproofing qualities, not of metal",specific
19,"commemorative statuary cups of stone, concrete or marble",specific
19,"prize cups of stone, concrete or marble",specific
19,smart glass for building,specific
2,paints*,specific
2,mordants*,specific
2,varnishes*,specific
2,colorants for beverages,specific
2,food colouring / food coloring,specific
2,alizarine dyes,specific
2,aluminium paints,specific
2,aluminium powder for painting,specific
2,asbestos paints,specific
2,anti-corrosive preparations,specific
2,fixatives for watercolours / fixatives for watercolors,specific
2,silver paste,specific
2,silver emulsions [pigments],specific
2,silvering powders,specific
2,black japan,specific
2,auramine,specific
2,bactericidal paints,specific
2,badigeon,specific
2,anti-corrosive bands,specific
2,Canada balsam,specific
2,colorants for butter,specific
2,colorants for beer,specific
2,bitumen varnish,specific
2,wood coatings [paints],specific
2,wood mordants,specific
2,wood stains,specific
2,sienna earth,specific
2,bronzing lacquers,specific
2,bronze powder for painting,specific
2,ink for leather,specific
2,caramel [food colorant],specific
2,malt caramel [food colorant],specific
2,coatings for roofing felt [paints],specific
2,ceramic paints,specific
2,white lead,specific
2,carbon black [pigment],specific
2,undercoating for vehicle chassis / undersealing for vehicle chassis,specific
2,shoe dyes,specific
2,lime wash,specific
2,printers' pastes [ink],specific
2,cobalt oxide [colorant],specific
2,cochineal carmine,specific
2,colophony*,specific
2,colorants*,specific
2,malt colorants,specific
2,wood preservatives,specific
2,copal,specific
2,aniline dyes,specific
2,thinners for paints,specific
2,thinners for lacquers,specific
2,thickeners for paints,specific
2,creosote for wood preservation,specific
2,stains for leather / mordants for leather,specific
2,dyes*,specific
2,pigments,specific
2,turmeric [colorant],specific
2,"natural resins, raw",specific
2,distempers,specific
2,enamels [varnishes],specific
2,enamels for painting / enamel paints,specific
2,printing ink,specific
2,marking ink for animals,specific
2,siccatives [drying agents] for paints,specific
2,coatings [paints],specific
2,fixatives [varnishes],specific
2,lamp black [pigment],specific
2,yellowwood [colorant],specific
2,"glazes [paints, lacquers]",specific
2,gamboge for painting,specific
2,gum-lac / shellac,specific
2,gum resins,specific
2,anti-rust greases,specific
2,engraving ink,specific
2,zinc oxide [pigment],specific
2,oils for the preservation of wood,specific
2,anti-rust oils,specific
2,fireproof paints,specific
2,indigo [colorant],specific
2,binding preparations for paints / agglutinants for paints,specific
2,colorants for liqueurs,specific
2,orange lead / litharge,specific
2,"metals in powder form for use in painting, decorating, printing and art",specific
2,mastic [natural resin],specific
